eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
57,Electricite de France,France,Electricity (753),421.00,12.3,"64,279",7.8,0.7,14.6,11.4,9.9,156,1.2,,
58,DSM,The Netherlands,Chemicals (135),394.00,5.9,"9,297",6.2,4.2,5.8,4.9,8.8,23,3.2,,
59,Saint-Gobain,France,Construction & materials (235),385.00,-3.5,"43,800",0.9,0.9,4.9,5.3,6.3,208,0.2,,
60,Shire  ,UK,Pharmaceuticals (4577),369.86,-0.9,"2,177",24.2,17.0,7.8,3.8,10.6,4,9.7,,
61,Hella,Germany,Automobiles & parts (335),356.68,10.8,"3,940",7.4,9.1,6.6,5.6,6.2,25,-2.8,,
62,AKZO Nobel,The Netherlands,Chemicals (135),334.00,19.3,"15,415",14.2,2.2,3.5,3.8,-3.9,61,42.6,,
63,ThyssenKrupp,Germany,Industrial metals & mining (175),325.00,23.1,"53,426",3.3,0.6,7.7,5.3,6.2,196,4.2,,
64,Carl Zeiss,Germany,Health care equipment & services (453),321.00,10.7,"2,731",4.9,11.8,4.3,4.1,9.7,13,9.3,,
65,Societe Generale,France,Banks (835),311.00,-1.3,"21,866",-0.3,1.4,23.0,20.7,18.3,160,23.3,,
66,Evonik Industries,Germany,General industrials (272),305.00,-2.2,"16,204",-2.6,1.9,6.6,5.5,4.9,42,-4.7,,
67,UBIsoft Entertainment,France,Software (9537),304.41,34.7,928,36.4,32.8,1.1,2.3,10.7,4,10.3,,
68,Lundbeck,Denmark,Pharmaceuticals (4577),300.07,2.1,"1,516",2.7,19.8,6.7,7.7,20.6,5,1.4,,
69,Vodafone,UK,Mobile telecommunications (657),289.63,19.7,"42,428",15.6,0.7,11.6,11.5,14.2,79,9.3,,
70,MAHLE  ,Germany,Automobiles & parts (335),285.89,3.0,"5,014",-0.9,5.7,8.3,6.1,3.2,49,10.1,,
71,UniCredit,Italy,Banks (835),284.75,"2,004.6","26,171",-0.9,1.1,6.3,40.9,14.8,176,12.8,,
72,Dassault Systemes,France,Software (9537),284.33,-2.6,"1,335",6.0,21.3,3.7,2.0,17.3,8,5.6,,
73,Barclays,UK,Banks (835),283.43,132.2,"24,155",-0.6,1.2,6.3,5.3,24.0,152,17.5,,
74,Dassault Aviation,France,Aerospace & defence (271),272.73,2.9,"3,748",-8.2,7.3,3.5,1.9,11.6,12,2.1,,
75,Voith,Germany,General industrials (272),267.02,21.7,"4,934",17.8,5.4,5.1,3.9,5.7,41,15.4,,
76,BSH Bosch und Siemens Hausgerate,Germany,Household goods & home construction (372),262.00,-0.4,"8,758",-0.7,3.0,4.2,4.2,7.0,41,3.3,,
77,Thomson,France,Media (555),257.00,-18.7,"4,903",-19.7,5.2,4.2,3.1,-32.2,23,-7.7,,
78,Oce,The Netherlands,Electronic office equipment (9574),254.97,23.2,"2,909",-6.1,8.8,6.0,6.4,1.2,23,-2.7,,
79,Behr,Germany,Automobiles & parts (335),241.00,5.2,"3,383",6.1,7.1,,4.7,2.5,19,4.6,,
80,Elan,Ireland,Pharmaceuticals (4577),227.92,39.2,548,47.5,41.6,7.8,4.4,-19.9,2,1.6,,
81,Vestas Wind Systems,Denmark,Alternative energy (58),223.00,87.4,"6,035",24.2,3.7,8.4,5.5,11.1,18,29.7,,
82,Sandvik,Sweden,Industrial machinery (2757),222.53,9.6,"8,430",7.3,2.6,7.4,5.7,13.8,49,9.3,,
83,Rio Tinto,UK,Mining (177),220.87,344.9,"39,039",82.7,0.6,16.5,15.5,15.7,99,109.9,,
84,BAE Systems,UK,Aerospace & defence (271),220.33,21.0,"17,244",16.5,1.3,3.1,2.2,8.6,90,8.4,,
85,Eni,Italy,Oil & gas producers (53),216.00,3.8,"108,148",23.9,0.2,11.4,9.8,17.8,77,3.6,,
86,ArcelorMittal,Luxembourg,Industrial metals & mining (175),212.23,37.8,"89,883",18.7,0.2,4.4,5.2,11.1,316,1.4,,
87,Nycomed,Luxembourg,Pharmaceuticals (4577),210.69,-20.4,"3,192",-8.7,6.6,1.8,2.6,11.0,12,-1.9,,
88,RWE,Germany,"Gas, water & multiutilities (757)",210.00,66.7,"49,089",15.1,0.4,8.6,9.3,13.5,65,3.5,,
