eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profitability_%,employees,employees_1_year_growth_%
207,Krka,Slovenia,Pharmaceuticals (4577),90.92,3.0,"1,010",6.0,9.0,10.7,8.8,10.7,21.0,8,4.4
208,Betfair,UK,Travel & leisure (575),90.28,88.2,459,15.4,19.7,5.6,3.9,5.6,6.1,2,21.5
209,Ingenico,France,Electronic equipment (2737),89.58,7.2,907,29.4,9.9,1.5,1.8,1.5,7.7,3,8.4
210,Enel,Italy,Electricity (753),89.00,1.1,"71,943",15.3,0.1,8.9,10.3,8.9,15.4,80,-4.2
211,Misys,UK,Software (9537),88.58,-26.9,551,-39.7,16.1,1.1,1.3,1.1,10.9,0,
212,Acciona,Spain,Construction & materials (235),88.10,-4.4,"6,263",-20.4,1.4,14.6,57.3,14.6,7.7,32,-4.3
213,Borealis,Austria,Chemicals (135),88.00,0.0,"6,269",33.0,1.4,1.9,6.5,1.9,7.0,5,-2.7
213,E.ON,Germany,"Gas, water & multiutilities (757)",88.00,8.6,"94,426",15.3,0.1,8.9,10.4,8.9,7.7,88,-6.2
215,DEUTZ,Germany,Industrial machinery (2757),87.30,1.7,"1,189",37.7,7.3,2.6,5.0,2.6,1.9,4,-9.8
216,Rhodia,France,Chemicals (135),87.00,14.5,"5,226",29.6,1.7,4.6,3.4,4.6,11.5,14,2.2
217,Cobham,UK,Aerospace & defence (271),86.48,-16.2,"2,221",1.2,3.9,3.4,4.0,3.4,12.3,12,-3.4
218,TeliaSonera,Sweden,Fixed line telecommunications (653),83.94,-19.7,"11,818",-2.4,0.7,11.1,10.5,11.1,29.1,28,-3.9
219,SNCF,France,Industrial transportation (277),83.00,-2.4,"30,635",23.1,0.3,8.2,12.6,8.2,2.4,241,20.4
220,ALTANA,Germany,Chemicals (135),81.96,14.5,"1,535",29.9,5.3,4.7,4.1,4.7,14.7,5,3.4
221,CGGVeritas,France,"Oil equipment, services & distribution (57)",80.40,5.2,"2,186",-2.1,3.7,12.1,7.7,12.1,2.5,7,-3.1
222,Intercell,Austria,Biotechnology (4573),79.88,20.5,34,-44.5,233.5,11.2,17.4,11.2,-743.8,0,1.2
223,Stora Enso,Finland,Forestry & paper (173),79.80,4.6,"10,297",15.1,0.8,3.8,4.6,3.8,9.8,27,-4.6
224,SCA,Sweden,Forestry & paper (173),79.61,-6.6,"12,102",-1.5,0.7,5.8,6.3,5.8,7.8,45,-8.5
225,Bekaert,Belgium,Industrial metals & mining (175),79.33,25.1,"3,262",33.9,2.4,7.1,6.8,7.1,17.4,22,20.8
226,Orion Oyj,Finland,Pharmaceuticals (4577),79.20,-9.1,850,10.2,9.3,2.7,3.3,2.7,29.4,3,-1.7
227,ASM International,The Netherlands,Semiconductors (9576),78.79,25.4,"1,223",107.0,6.4,8.9,2.2,8.9,26.8,14,26.8
228,Meggitt,UK,Aerospace & defence (271),78.78,2.3,"1,356",1.0,5.8,1.2,1.5,1.2,18.9,7,-4.7
229,Salzgitter,Germany,Industrial metals & mining (175),78.40,-2.8,"8,305",6.2,0.9,5.9,8.5,5.9,1.7,23,-2.4
230,Gameloft,France,Software (9537),78.13,25.4,141,15.6,55.4,2.8,1.9,2.8,6.6,5,9.8
231,Munich Re,Germany,Nonlife insurance (853),78.00,143.8,"51,624",8.9,0.2,0.3,0.3,0.3,6.0,47,-0.7
232,SMA Solar Technology,Germany,Alternative energy (58),77.99,45.9,"1,920",105.5,4.1,7.3,7.5,7.3,26.9,6,61.8
233,William Demant,Denmark,Health care equipment & services (453),76.10,5.6,925,20.9,8.2,3.5,3.0,3.5,20.7,6,11.4
234,LFB,France,Pharmaceuticals (4577),75.95,14.1,376,6.6,20.2,8.3,11.1,8.3,-0.9,2,11.0
235,Sorin,Italy,Health care equipment & services (453),75.04,14.3,746,8.2,10.1,3.2,3.3,3.2,7.9,4,2.9
236,Dexia,Belgium,Banks (835),75.00,-11.8,"5,305",-13.4,1.4,6.8,5.5,6.8,17.4,27,-0.5
237,LCH Clearnet,UK,Other financials (877),74.84,-10.2,356,-50.0,21.0,1.9,0.3,1.9,12.4,1,5.3
238,Leoni,Germany,Electrical components & equipment (2733),73.83,11.6,"2,956",36.8,2.5,3.4,3.5,3.4,4.2,52,11.1
239,Suez Environnement,France,Support services (279),73.00,12.3,"13,869",12.8,0.5,7.7,6.3,7.7,9.1,80,20.7
240,Spectris,UK,Electrical components & equipment (2733),72.83,7.2,"1,053",14.6,6.9,1.9,1.5,1.9,14.2,6,0.3
241,Barco,Belgium,Electronic equipment (2737),72.14,17.9,897,40.5,8.0,1.2,0.6,1.2,4.8,3,-0.4
242,Nexans,France,Electrical components & equipment (2733),71.00,10.9,"6,179",22.5,1.1,2.0,2.9,2.0,2.9,24,4.3
242,Repsol YPF,Spain,Oil & gas producers (53),71.00,-5.3,"53,663",17.0,0.1,8.6,9.3,8.6,8.6,42,6.3
244,Kone,Finland,Industrial machinery (2757),70.90,14.4,"4,987",5.1,1.4,0.8,0.7,0.8,14.2,34,-2.1
245,Industria de Turbo Propulsores,Spain,Aerospace & defence (271),69.87,39.7,479,-0.9,14.6,,,,6.3,3,-3.3
246,Recordati,Italy,Pharmaceuticals (4577),68.84,-0.9,728,-2.6,9.5,1.1,1.2,1.1,21.2,3,-1.3
247,Alfa Laval,Sweden,Industrial machinery (2757),68.19,-5.1,"2,741",-5.1,2.5,1.7,2.1,1.7,17.8,12,2.6
248,Groupe SEB,France,Household goods & home construction (372),68.10,15.4,"3,652",15.0,1.9,3.3,2.9,3.3,9.4,22,12.5
249,HeidelbergCement,Germany,Construction & materials (235),67.60,6.3,"11,762",5.8,0.6,6.1,7.2,6.1,9.3,55,-3.6
250,Wustenrot & Wurttembergische,Germany,Nonlife insurance (853),67.06,70.7,"5,467",5.4,1.2,0.4,0.8,0.4,4.1,10,22.2
251,Belgacom,Belgium,Fixed line telecommunications (653),67.00,26.4,"6,552",10.6,1.0,7.0,7.5,7.0,18.0,16,-3.6
252,GEA,Germany,Industrial machinery (2757),66.60,1.5,"4,418",0.2,1.5,1.6,2.7,1.6,5.2,20,-2.6
253,Sick,Germany,Electronic equipment (2737),66.51,3.4,749,25.5,8.9,2.1,1.9,2.1,8.9,5,1.2
254,Heraeus,Germany,Industrial metals & mining (175),66.40,5.7,"22,025",35.8,0.3,,,,1.8,13,4.8
255,Vallourec,France,Industrial machinery (2757),65.48,-0.4,"4,491",0.6,1.5,23.6,15.2,23.6,15.2,19,3.7
256,Elster Group,Germany,Electronic equipment (2737),65.22,11.6,"1,311",3.8,5.0,2.4,,2.4,10.2,7,1.5
257,IMMSI,Italy,Automobiles & parts (335),62.90,-10.1,"1,604",-0.6,3.9,2.4,2.6,2.4,5.7,8,5.4
258,Komercni banka,Czech Republic,Banks (835),61.62,735.7,"1,302",-1.1,4.7,2.8,3.5,2.8,49.1,9,-2.2
259,GN Store Nord,Denmark,Telecommunications equipment (9578),61.06,1.3,690,8.8,8.8,1.8,1.1,1.8,49.9,4,0.1
260,FrieslandCampina,The Netherlands,Food producers (357),61.00,10.9,"8,972",10.0,0.7,2.8,2.6,2.8,4.9,19,-2.7
261,Elekta,Sweden,Health care equipment & services (453),60.99,10.9,820,10.5,7.4,1.1,1.2,1.1,16.7,2,1.6
262,Stada Arzneimittel,Germany,Pharmaceuticals (4577),60.01,2.3,"1,627",3.7,3.7,1.9,3.2,1.9,10.0,8,0.2
263,Spirent Communications,UK,Telecommunications equipment (9578),59.78,7.8,359,13.2,16.6,3.8,2.4,3.8,23.4,1,0.8
264,Sopra,France,Computer services (9533),59.30,10.6,"1,170",6.8,5.1,1.3,1.0,1.3,9.3,13,3.0
265,Bang & Olufsen,Denmark,Leisure goods (374),58.74,-15.8,371,-1.0,15.8,3.0,4.0,3.0,-1.9,2,-14.5
266,Tomkins,UK,General industrials (272),58.59,-15.2,"3,116",-24.2,1.9,2.8,3.3,2.8,0.5,27,-17.4
267,Kontron,Germany,Computer hardware (9572),58.03,14.8,509,8.7,11.4,1.0,1.2,1.0,-1.6,3,11.6
268,Caixa Geral de Depositos,Portugal,Banks (835),58.02,0.4,"2,891",-18.8,2.0,6.0,3.7,6.0,13.0,21,5.2
269,KBC,Belgium,Banks (835),58.00,-23.7,"8,378",57.8,0.7,6.6,10.4,6.6,26.5,52,-8.5
270,LEGO,Denmark,Leisure goods (374),57.57,25.8,"2,149",37.3,2.7,6.7,8.9,6.7,31.1,8,18.5
271,Experian,UK,Support services (279),57.40,71.1,"3,160",9.3,1.8,1.7,1.5,1.7,21.2,15,0.9
272,Zeltia,Spain,Pharmaceuticals (4577),57.35,5.9,154,24.4,37.4,1.5,3.6,1.5,-9.5,1,1.6
273,Trelleborg,Sweden,General industrials (272),56.66,0.8,"3,191",6.4,1.8,2.8,2.8,2.8,6.7,20,-0.2
274,Technip,France,"Oil equipment, services & distribution (57)",56.60,-3.2,"6,082",-5.8,0.9,5.9,6.4,5.9,9.8,23,1.4
275,Zumtobel,Austria,Electronic equipment (2737),56.48,16.1,"1,230",10.1,4.6,3.3,3.0,3.3,5.7,8,9.0
276,Prysmian,Italy,Electrical components & equipment (2733),56.00,3.7,"4,571",22.5,1.2,1.8,2.4,1.8,6.7,12,5.5
277,Amer Sports,Finland,Leisure goods (374),55.80,10.7,"1,740",13.5,3.2,1.8,1.8,1.8,5.1,6,2.1
278,Lottomatica,Italy,Travel & leisure (575),54.80,-12.2,"2,314",6.3,2.4,13.3,12.6,13.3,16.8,8,0.5
279,Crucell,The Netherlands,Biotechnology (4573),54.60,4.9,338,26.6,16.1,15.1,5.9,15.1,10.1,1,4.0
280,KPN,The Netherlands,Fixed line telecommunications (653),54.00,-31.6,"13,324",-0.9,0.4,10.9,10.7,10.9,23.7,32,-8.7
281,Micro Focus International,UK,Software (9537),53.90,72.8,322,57.5,16.7,1.1,1.0,1.1,24.4,1,89.5
282,Sud-Chemie,Germany,Chemicals (135),53.60,11.2,"1,225",14.2,4.4,6.4,5.6,6.4,11.2,6,2.6
283,MorphoSys,Germany,Biotechnology (4573),52.96,51.3,87,7.4,60.9,2.7,3.2,2.7,11.3,0,15.7
284,Kaspersky Labs,UK,Software (9537),52.64,90.8,344,40.2,15.3,2.6,3.2,2.6,16.4,2,33.4
285,Andritz,Austria,Industrial machinery (2757),52.55,6.7,"3,554",11.1,1.5,1.8,2.1,1.8,6.9,14,5.6
286,Standard Life,UK,Life insurance (857),52.52,275.0,"21,819",4.9,0.2,0.1,0.1,0.1,2.9,9,-5.1
286,Williams Grand Prix,UK,Travel & leisure (575),52.52,35.0,106,-9.0,49.4,2.0,0.7,2.0,6.2,1,-1.3
288,Imagination Technologies,UK,Semiconductors (9576),52.17,26.4,114,21.2,45.6,12.7,1.5,12.7,16.6,1,22.9
289,BBC,UK,Media (555),52.05,-11.0,"5,511",5.1,0.9,11.3,2.8,11.3,-2.2,23,0.2
290,Norddeutsche Landesbank Girozentrale,Germany,Banks (835),52.00,30.0,"2,091",-2.1,2.5,2.8,2.4,2.8,11.3,6,7.6
291,Swedish Orphan Biovitrum,Sweden,Biotechnology (4573),51.70,-28.8,211,47.0,24.5,2.3,7.4,2.3,-8.3,1,17.3
292,Codemasters,UK,Leisure goods (374),51.54,-25.4,144,101.1,35.9,0.7,9.5,0.7,-17.3,1,1.3
293,Coloplast,Denmark,Health care equipment & services (453),50.86,4.4,"1,280",8.1,4.0,2.7,5.5,2.7,20.8,7,-1.9
294,John Lewis,UK,General retailers (537),50.77,41.2,"8,592",9.3,0.6,6.1,6.1,6.1,3.2,75,6.9
295,Marks & Spencer,UK,General retailers (537),50.30,-24.3,"11,368",2.1,0.4,3.7,3.3,3.7,8.6,78,2.5
296,ADVA,Germany,Telecommunications equipment (9578),50.17,21.4,292,25.3,17.2,3.0,2.5,3.0,2.8,1,8.2
297,Italtel,Italy,Telecommunications equipment (9578),49.90,-14.1,422,4.0,11.8,0.3,0.7,0.3,1.1,2,-1.7
298,Dyson James,UK,Household goods & home construction (372),49.49,-13.7,898,22.5,5.5,2.9,4.6,2.9,24.6,2,-2.1
299,Laird,UK,Electrical components & equipment (2733),49.25,-1.4,662,7.3,7.4,3.3,3.4,3.3,-0.6,13,7.1
300,Telekom Austria,Austria,Fixed line telecommunications (653),49.06,2.0,"4,651",-3.1,1.1,12.9,10.9,12.9,9.4,17,-1.2
301,Plastic Logic,UK,Electrical components & equipment (2733),48.97,48.2,0,0.0,"4,897,100.0","741,900.0","4,548,400.0","741,900.0","-6,388,700.0",0,57.5
302,IMI,UK,Industrial machinery (2757),48.90,7.2,"2,230",6.6,2.2,2.4,2.1,2.4,16.5,13,-3.8
303,Biotest,Germany,Pharmaceuticals (4577),48.87,0.8,486,0.7,10.0,6.0,8.0,6.0,13.8,2,-10.7
304,BHP Billiton,UK,Mining (177),48.45,-58.3,"39,357",5.2,0.1,21.6,20.0,21.6,37.7,40,-3.5
305,NKT,Denmark,Electrical components & equipment (2733),48.32,24.3,"1,939",23.6,2.5,5.4,8.0,5.4,3.2,8,6.5
306,Genmab,Denmark,Biotechnology (4573),47.96,-44.9,78,-7.3,61.4,1.7,2.7,1.7,-35.8,0,-54.7
307,Pearson,UK,Media (555),47.85,17.1,"6,955",6.0,0.7,1.5,1.2,1.5,13.7,36,-2.3
308,Northgate Information Solutions,UK,Computer services (9533),47.30,10.4,782,3.8,6.0,2.7,2.3,2.7,1.0,8,1.0
309,Cognis,Germany,Chemicals (135),47.00,-16.1,"2,584",-34.2,1.8,2.7,2.3,2.7,7.5,6,-4.9
309,CSM,The Netherlands,Food producers (357),47.00,33.1,"2,990",17.0,1.6,2.3,1.7,2.3,5.1,9,12.8
311,Arques Industries ,Germany,Other financials (877),46.91,-22.7,"1,009",-71.1,4.6,2.3,0.7,2.3,-5.5,5,-47.0
312,Sophos,UK,Software (9537),46.85,18.8,210,43.8,22.3,1.6,1.4,1.6,-13.1,1,10.0
313,ACS,Spain,Construction & materials (235),46.77,16.8,"15,921",-8.7,0.3,13.0,8.8,13.0,8.3,141,-0.5
314,Somfy,France,Electrical components & equipment (2733),46.56,15.5,853,12.1,5.5,2.7,3.2,2.7,14.0,5,2.2
315,Ultra Electronics,UK,Aerospace & defence (271),46.36,15.1,829,9.1,5.6,2.2,1.5,2.2,12.7,4,1.1
316,Tenaris,Luxembourg,"Oil equipment, services & distribution (57)",46.07,-1.4,"5,748",-5.6,0.8,10.6,5.4,10.6,21.3,25,12.5
317,Christian Dior,France,Personal goods (376),46.00,2.2,"21,123",19.0,0.2,4.5,4.1,4.5,20.0,76,3.9
317,Koenig & Bauer,Germany,Industrial machinery (2757),46.00,-1.5,"1,179",12.3,3.9,1.1,2.8,1.1,1.1,7,-11.1
319,Hugo Boss,Germany,Personal goods (376),45.98,7.9,"1,729",10.7,2.7,2.6,2.3,2.6,15.3,9,2.6
320,ElringKlinger,Germany,Automobiles & parts (335),45.75,24.0,796,37.3,5.7,16.0,15.5,16.0,14.4,4,10.5
321,Scottish and Southern Energy,UK,Electricity (753),45.05,120.6,"33,069",31.5,0.1,4.1,4.6,4.1,8.2,20,5.0
322,UPM-Kymmene,Finland,Forestry & paper (173),45.00,-6.3,"8,924",15.6,0.5,2.5,2.5,2.5,7.9,23,-3.9
323,ALK-Abello,Denmark,Pharmaceuticals (4577),44.96,11.7,287,10.6,15.7,6.6,10.2,6.6,9.0,2,6.5
324,Unit4,The Netherlands,Software (9537),44.69,0.6,423,10.3,10.6,1.4,1.0,1.4,8.9,4,7.3
325,Gildemeister,Germany,Industrial machinery (2757),44.64,0.7,"1,377",16.6,3.2,1.6,1.6,1.6,3.1,5,-10.1
326,Axis,Sweden,Computer hardware (9572),44.54,8.6,325,27.5,13.7,1.1,1.0,1.1,14.9,1,11.0
327,Cookson,UK,General industrials (272),44.47,9.8,"2,971",29.8,1.5,2.5,1.8,2.5,8.7,15,3.1
328,Swedish Road Administration,Sweden,Industrial transportation (277),44.42,23.9,"1,406",-28.8,3.2,121.5,96.7,121.5,-22.5,3,-55.7
329,Neopost,France,Electronic office equipment (9574),44.40,-7.1,966,5.7,4.6,4.9,4.7,4.9,25.8,5,-0.5
330,Fincantieri,Italy,Commercial vehicles & trucks (2753),44.37,-5.9,"2,611",-14.8,1.7,2.0,2.4,2.0,-5.3,10,-4.0
331,Tieto,Finland,Computer services (9533),44.20,-16.8,"1,714",0.4,2.6,5.0,3.2,5.0,4.0,17,3.2
332,Eramet,France,Industrial metals & mining (175),44.00,12.8,"3,576",33.0,1.2,6.9,9.1,6.9,20.1,14,-2.1
332,Vectura,UK,Pharmaceuticals (4577),44.00,3.6,50,7.0,87.9,3.0,2.7,3.0,-31.0,0,-4.1
334,Sartorius,Germany,Electronic equipment (2737),43.86,2.2,659,9.5,6.7,2.4,2.6,2.4,10.6,4,-2.3
335,Delhaize,Belgium,Food & drug retailers (533),43.00,22.9,"20,850",4.5,0.2,2.9,2.6,2.9,4.9,139,0.4
336,SimCorp,Denmark,Software (9537),42.99,2.9,185,2.8,23.2,1.4,0.7,1.4,19.0,1,3.1
337,centrotherm photovoltaics,Germany,Alternative energy (58),42.42,49.3,624,22.6,6.8,3.1,6.8,3.1,12.0,1,17.5
338,Terna,Italy,Electricity (753),42.40,153.9,"2,036",34.3,2.1,54.2,56.7,54.2,46.8,3,-0.9
339,Danieli,Italy,Industrial machinery (2757),42.27,128.4,"2,284",13.2,1.9,3.5,5.6,3.5,9.9,9,5.8
340,Egis Pharmaceuticals,Hungary,Pharmaceuticals (4577),42.24,11.1,427,3.1,9.9,11.2,11.1,11.2,13.0,3,0.7
341,Aixtron,Germany,Semiconductors (9576),41.94,44.3,784,158.8,5.4,6.2,2.9,6.2,34.7,1,16.6
342,Antisoma,UK,Biotechnology (4573),41.43,-0.7,24,-19.4,174.5,2.3,0.9,2.3,-110.6,0,-3.4
342,JCB Service,UK,Commercial vehicles & trucks (2753),41.43,2.6,"1,582",-32.6,2.6,1.8,4.9,1.8,3.3,6,-21.8
344,SGL Carbon,Germany,Chemicals (135),41.40,8.4,"1,382",12.7,3.0,9.4,12.2,9.4,8.1,6,-0.4
345,Dialog Semiconductor,UK,Semiconductors (9576),41.27,28.0,221,36.3,18.7,3.2,3.1,3.2,15.1,0,19.0
346,Eniro,Sweden,Media (555),41.25,4.5,591,-19.1,7.0,0.8,0.7,0.8,-66.7,4,-12.9
347,KSB,Germany,Industrial machinery (2757),41.12,19.7,"1,939",2.5,2.1,3.5,4.5,3.5,7.4,15,2.0
348,Neste Oil,Finland,Oil & gas producers (53),41.00,10.8,"11,892",23.4,0.3,7.8,8.4,7.8,2.6,5,-4.8
349,Avio,Italy,Aerospace & defence (271),40.61,6.9,"1,753",3.0,2.3,2.8,2.9,2.8,8.8,5,-0.9
350,Fagor Electrodomesticos,Spain,Household goods & home construction (372),40.38,-41.9,"1,396",-1.1,2.9,2.3,2.9,2.3,1.3,8,-1.7
351,Gamesa,Spain,Industrial machinery (2757),40.37,-3.6,"2,736",-14.2,1.5,3.4,2.5,3.4,3.3,7,0.2
352,Octapharma Nordic,Sweden,Pharmaceuticals (4577),40.35,4.8,749,-28.1,5.4,11.9,12.7,11.9,5.9,4,6.6
353,Cegedim,France,Computer services (9533),40.15,22.6,927,6.0,4.3,3.0,3.0,3.0,-0.7,8,-3.1
354,Kemira,Finland,Chemicals (135),39.20,-10.7,"2,269",-9.2,1.7,2.8,3.0,2.8,6.8,6,-36.6
355,Novomatic,Austria,Travel & leisure (575),37.90,1.9,"1,184",-3.7,3.2,28.3,25.1,28.3,18.2,11,2.1
356,FLSmidth,Denmark,Industrial machinery (2757),37.71,-10.8,"2,709",-12.8,1.4,2.3,0.9,2.3,9.6,11,5.3
357,De'Longhi,Italy,Household goods & home construction (372),37.70,12.2,"1,600",16.0,2.4,2.1,2.0,2.1,9.2,8,2.4
358,BTG,UK,Biotechnology (4573),37.46,18.9,130,13.1,28.8,10.1,1.5,10.1,-13.7,0,13.4
359,CompuGROUP Medical,Germany,Computer services (9533),37.38,26.4,312,6.5,12.0,2.4,3.4,2.4,10.5,3,8.2
360,TDC,Denmark,Fixed line telecommunications (653),37.17,99.3,"4,730",-7.2,0.8,7.7,10.5,7.7,13.5,11,-16.7
361,Nemetschek,Germany,Software (9537),36.70,9.3,150,10.4,24.5,1.6,0.7,1.6,18.3,1,-2.0
362,NeuroSearch,Denmark,Biotechnology (4573),36.55,-10.0,9,-18.0,392.8,15.6,23.4,15.6,-475.4,0,0.0
363,Energias de Portugal,Portugal,Electricity (753),36.53,17.8,"14,171",16.2,0.3,16.9,27.7,16.9,14.7,12,0.0
364,Jungheinrich,Germany,Commercial vehicles & trucks (2753),36.29,-6.3,"1,816",8.3,2.0,10.8,9.7,10.8,5.3,10,-3.8
365,Paul Hartmann,Germany,Health care equipment & services (453),35.80,11.2,"1,633",4.6,2.2,3.5,2.7,3.5,6.3,10,3.3
366,SSI Investments II,Ireland,Software (9537),35.65,9.0,167,-28.7,21.3,1.5,1.0,1.5,-55.5,1,4.3
367,Nexter,France,Aerospace & defence (271),35.60,43.5,887,53.1,4.0,1.5,2.7,1.5,14.7,3,6.7
368,Logica,UK,Computer services (9533),35.48,33.9,"4,315",-0.1,0.8,1.3,1.0,1.3,5.7,39,-1.4
369,PUMA,Germany,Personal goods (376),35.30,28.8,"2,706",10.6,1.3,1.5,2.2,1.5,11.4,9,-4.5
369,Sudzucker,Germany,Food producers (357),35.30,5.4,"6,161",7.7,0.6,3.8,3.6,3.8,8.4,18,0.9
371,Cargotec,Finland,Industrial machinery (2757),35.20,-9.7,"2,575",-0.2,1.4,2.2,3.6,2.2,5.0,10,-10.3
372,Lantmannen,Sweden,Food producers (357),35.15,-0.3,"3,990",2.5,0.9,4.2,4.4,4.2,2.2,10,-1.9
373,Dako,Denmark,Biotechnology (4573),35.14,16.9,257,8.5,13.7,9.8,9.9,9.8,15.2,1,1.4
374,Bank of Ireland,Ireland,Banks (835),35.00,-15.3,"5,864",-13.1,0.6,0.7,0.2,0.7,22.0,14,-3.2
374,Deutsche Bahn,Germany,Travel & leisure (575),35.00,118.8,"30,040",20.9,0.1,22.7,25.8,22.7,-9.5,260,5.0
376,Renishaw,UK,Electronic equipment (2737),34.73,-1.6,212,6.1,16.4,1.6,6.4,1.6,14.8,2,-11.7
377,LM Wind Power,Denmark,Alternative energy (58),34.45,30.7,727,-6.4,4.7,12.6,10.2,12.6,-47.4,5,-10.8
377,Parrot,France,Telecommunications equipment (9578),34.45,32.4,242,43.4,14.3,1.3,0.7,1.3,12.9,1,
379,EnBW Energie Baden-Wurttemberg,Germany,Electricity (753),34.30,-1.4,"17,509",12.5,0.2,11.1,8.7,11.1,9.4,20,-2.2
380,London Stock Exchange,UK,Other financials (877),34.08,-3.6,719,1.7,4.7,2.7,2.0,2.7,45.9,2,-1.9
381,Poste Italiane,Italy,Industrial transportation (277),33.71,29.0,"21,621",10.4,0.2,1.1,1.5,1.1,8.2,149,-1.2
382,F-Secure,Finland,Software (9537),33.68,19.1,130,4.0,25.9,4.0,2.2,4.0,14.6,1,8.4
383,Guerbet,France,Pharmaceuticals (4577),33.57,12.5,353,5.1,9.5,11.0,9.1,11.0,0.7,1,2.1
384,Ahold,The Netherlands,Food & drug retailers (533),33.00,266.7,"29,530",5.7,0.1,2.7,2.4,2.7,4.7,213,3.0
384,Grammer,Germany,Automobiles & parts (335),33.00,2.6,930,27.8,3.5,3.7,4.0,3.7,3.5,8,3.6
386,AVEVA,UK,Software (9537),32.78,34.1,203,17.3,16.1,1.2,1.0,1.2,28.2,1,10.7
387,Akka Technologies,France,Support services (279),32.71,-41.8,400,20.3,8.2,,,,3.8,6,9.6
388,CHR Hansen,Denmark,Pharmaceuticals (4577),32.70,33.1,576,11.9,5.7,3.3,3.2,3.3,20.6,2,3.3
389,INEOS,UK,Chemicals (135),32.20,-45.4,"24,764",31.6,0.1,1.8,2.0,1.8,4.5,12,-14.3
390,Wolfson Microelectronics,UK,Semiconductors (9576),32.17,14.1,117,29.7,27.4,2.1,4.1,2.1,-7.2,0,12.6
391,Pharmathen,Greece,Pharmaceuticals (4577),32.16,7.3,89,20.5,36.0,3.6,15.2,3.6,15.2,0,2.2
392,Expro International,UK,"Oil equipment, services & distribution (57)",32.13,8.2,759,9.1,4.2,6.5,8.2,6.5,-14.6,4,-6.8
393,Benetton,Italy,Personal goods (376),32.00,0.0,"2,053",0.2,1.6,6.7,4.6,6.7,8.4,9,-1.5
394,Nordex,Germany,Alternative energy (58),31.93,13.4,972,-17.8,3.3,4.9,2.7,4.9,4.3,2,7.8
395,Boliden,Sweden,Mining (177),31.60,31.3,"4,071",32.9,0.8,7.9,17.8,7.9,15.4,4,0.8
396,Wilo,Germany,Industrial machinery (2757),31.47,-5.3,"1,021",10.3,3.1,4.8,4.1,4.8,10.9,6,4.0
397,AZ Electronic Materials,Luxembourg,Chemicals (135),31.31,22.4,508,36.3,6.2,4.4,2.0,4.4,18.4,1,0.7
398,Ion Beam Applications,Belgium,Health care equipment & services (453),31.07,4.5,388,7.9,8.0,4.1,5.3,4.1,2.7,2,3.5
399,Latecoere,France,Aerospace & defence (271),31.00,-3.1,464,3.3,6.7,1.5,1.4,1.5,8.0,4,-4.4
400,Vaisala,Finland,Electronic equipment (2737),30.70,10.4,253,9.2,12.1,8.8,6.6,8.8,4.7,1,8.1
401,Fidessa,UK,Software (9537),30.67,11.8,306,10.0,10.0,2.6,5.2,2.6,14.2,2,6.2
402,COFIDE,Italy,General industrials (272),30.22,20.5,"4,805",12.6,0.6,10.1,12.3,10.1,4.1,13,1.8
403,Charter International,UK,Industrial machinery (2757),30.11,16.2,"2,007",3.6,1.5,2.8,3.1,2.8,8.2,12,-1.1
404,IMA Industria Macchine Automatiche,Italy,Industrial machinery (2757),30.08,5.5,503,-0.5,6.0,1.7,1.0,1.7,8.3,3,-0.2
405,Fortum,Finland,Electricity (753),30.00,0.0,"6,296",15.8,0.5,19.1,15.5,19.1,28.0,11,-16.0
406,Transgene,France,Biotechnology (4573),29.99,51.3,6,1.7,531.0,58.0,72.9,58.0,-762.8,0,19.2
407,Halma,UK,Electronic equipment (2737),29.98,20.2,605,12.9,5.0,2.8,2.1,2.8,19.2,4,5.0
408,ELMOS Semiconductor,Germany,Semiconductors (9576),29.91,8.7,185,49.2,16.2,5.3,2.8,5.3,12.2,1,-4.6
409,Hays,UK,Support services (279),29.88,422.4,651,-16.9,4.6,1.4,1.1,1.4,7.0,7,-16.4
410,Homag,Germany,Industrial machinery (2757),29.69,25.0,718,37.0,4.1,1.7,3.9,1.7,3.2,5,-3.4
410,Roth & Rau,Germany,Alternative energy (58),29.69,89.0,285,44.2,10.4,6.7,3.7,6.7,-9.7,1,45.4
412,Bavarian Nordic,Denmark,Biotechnology (4573),29.53,12.8,42,320.0,70.1,14.5,77.6,14.5,-151.0,0,10.9
413,Atari,France,Software (9537),29.50,-16.7,73,-48.8,40.6,0.4,0.5,0.4,-5.5,0,-6.8
414,Nationwide,UK,Other financials (877),29.18,0.0,"2,453",-3.1,1.2,7.3,7.0,7.3,15.1,18,-4.5
414,Tate & Lyle,UK,Food producers (357),29.18,-3.8,"3,863",-8.2,0.8,2.0,2.3,2.0,8.8,5,-8.1
416,CEGID,France,Software (9537),28.88,0.3,250,0.4,11.6,0.9,0.9,0.9,11.7,2,-4.5
417,Agennix,Germany,Biotechnology (4573),28.56,325.1,0,-98.0,"18,667.3",377.1,0.0,377.1,"-24,229.4",0,0.0
418,Austria Technologie & Systemtechnik,Austria,Electrical components & equipment (2733),28.31,36.9,488,31.1,5.8,27.1,5.4,27.1,7.3,7,24.4
