eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
967,CONSTRUCTIONS INDUSTRIELLES DE LA MEDITERRANEE,France,Industrial Engineering,5.9,2.5,0.8,722.1,8.6,15.3,43.8,2.1,34.9,40.7,4.8,,  
968,UNITED BISCUITS,Luxembourg,Food Producers,5.9,-17.5,  ,,  ,,  ,  ,,  ,  ,,  
969,LANGLEY,UK,Industrial Engineering,5.8,-4.8,1.1,544.6,8.7,,  ,0.0,112.5,54.0,20.7,2264,1.8
970,STORE ELECTRONIC SYSTEMS,France,Electronic & Electrical Equipment,5.8,48.0,9.2,63.0,6.8,5.9,22.6,9.3,6.3,-52.0,10.0,139,15.8
971,RMD HOLDING,Germany,Support Services,5.8,18.4,7.2,80.7,14.1,,  ,0.0,16.8,7.8,20.9,477,19.8
972,PROXIMAGEN,UK,Pharmaceuticals & Biotechnology,5.8,-21.4,2156.2,0.3,-78.2,,  ,0.0,-8.8,-7.9,-3298.7,42,10.5
973,MULTIPLE SCLEROSIS,UK,Health Care Equipment & Services,5.7,26.3,16.6,34.6,  ,,  ,0.0,-4.6,  ,-13.2,407,  
974,MGI,France,Electronic & Electrical Equipment,5.7,45.5,21.2,27.1,20.9,,  ,0.0,5.9,33.8,21.9,79,  
975,TT ELECTRONICS,UK,Electronic & Electrical Equipment,5.7,-9.4,1.0,570.4,-19.3,22.4,-12.2,3.9,31.1,-24.0,5.5,5464,-12.1
976,SABIC UK PETROCHEMICALS,UK,Chemicals,5.7,  ,1.5,385.1,7.2,,  ,0.0,38.2,21.8,9.9,700,-0.8
977,TEMENOS,UK,Software & Computer Services,5.7,-42.6,18.1,31.6,-19.3,,  ,0.0,-1.8,-71.1,-5.6,291,-11.8
978,HOFT & WESSEL,Germany,Electronic & Electrical Equipment,5.7,37.5,6.5,88.4,-7.5,,-100.0,0.0,-10.6,-357.9,-11.9,514,2.8
979,ITESOFT,France,Software & Computer Services,5.7,-3.4,26.3,21.7,-0.3,0.2,-71.7,1.1,0.7,33.3,3.0,179,-2.2
980,MOLOGEN,Germany,Pharmaceuticals & Biotechnology,5.6,3.8,9401.7,0.1,-56.2,0.1,444.4,163.3,-7.9,3.9,-13153.3,53,1.9
981,IGE+XAO,France,Software & Computer Services,5.6,5.7,23.9,23.4,4.8,0.2,4.0,0.9,5.6,7.1,24.0,352,8.6
982,WAAGNER BIRO,Austria,Construction & Materials,5.6,-16.2,3.3,171.8,-0.1,,  ,0.0,-10.0,-203.2,-5.8,1149,-10.4
983,TTP,UK,Software & Computer Services,5.6,-0.4,12.0,46.6,-0.1,,  ,0.0,0.3,-87.6,0.7,312,-1.0
984,ALBIREO,Sweden,Pharmaceuticals & Biotechnology,5.6,-14.1,11.8,47.2,  ,,  ,0.0,40.7,-669.7,86.3,8,33.3
985,CODEMASTERS SOFTWARE,UK,Software & Computer Services,5.6,5.2,8.1,68.4,-47.8,,  ,0.0,-13.1,3133.7,-19.1,667,-9.3
986,INGLEBY 1863,UK,Software & Computer Services,5.5,  ,11.2,49.4,  ,,  ,0.0,4.2,  ,8.5,345,  
987,VITROLIFE,Sweden,Health Care Equipment & Services,5.5,0.2,11.7,47.1,13.5,1.8,2.2,3.7,7.3,53.4,15.5,215,1.9
988,LOMBARD MEDICAL TECHNOLOGIES,UK,Health Care Equipment & Services,5.5,-30.0,118.2,4.7,-3.1,0.2,-74.0,3.5,-9.8,-27.8,-211.1,97,10.2
989,STENA,Sweden,Travel & Leisure,5.5,-25.4,0.2,3191.3,-2.1,,  ,0.0,391.9,-26.5,12.3,10565,3.2
