eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
900,International Power,UK,Electricity (753),4.45,0.0,"3,835",33.7,0.1,9.1,13.8,34.8,4,2.6
900,SHL,UK,Support services (279),4.45,3.5,101,3.1,4.4,4.0,6.1,11.9,1,-14.0
902,Innovia Films  ,UK,Chemicals (135),4.44,231.3,354,261.2,1.3,2.0,3.1,1.4,1,-3.5
903,Emak,Italy,Household goods (372),4.43,3.7,208,13.7,2.1,3.8,3.3,9.1,1,14.5
904,Studsvik,Sweden,Support services (279),4.41,12.2,135,8.9,3.3,5.2,4.0,5.9,1,0.1
905,Amstrad,UK,Leisure goods (374),4.40,18.0,136,-10.5,3.2,0.7,0.7,20.6,0,3.5
906,Flomerics  ,UK,Software (9537),4.39,33.4,21,23.5,20.9,1.9,5.9,4.8,0,40.4
907,Tamfelt,Finland,Personal goods (376),4.38,33.1,155,10.7,2.8,7.1,7.9,15.5,1,6.2
908,Vastox (now Summit)  ,UK,Pharmaceuticals (4577),4.36,186.8,2,100.0,218.0,150.0,200.0,-350.0,0,152.6
909,HL Display,Sweden,Household goods (372),4.33,-3.3,160,10.3,2.7,1.9,2.8,7.5,1,1.7
910,LPKF Laser & Electronics,Germany,Electronic equipment (2737),4.31,37.7,40,14.3,10.8,15.0,5.7,15.0,0,14.1
911,Whatman,UK,Health care equipment & services (453),4.30,-9.5,179,3.5,2.4,5.0,5.2,28.5,1,5.1
911,CNP Assurances,France,Life insurance (857),4.30,79.2,"44,302",13.6,0.0,,,3.9,4,2.7
913,Porvair,UK,Chemicals (135),4.29,-12.3,69,3.0,6.2,1.4,1.5,7.2,0,-3.9
914,Quantel,France,Health care equipment & services (453),4.27,-15.4,41,10.8,10.4,7.3,10.8,7.3,0,19.8
915,Proteome Sciences  ,UK,Pharmaceuticals (4577),4.26,-8.4,0,0.0,"1,065.0",250.0,100.0,"-2,750.0",0,0.0
916,GFT Technologies,Germany,Computer services (9533),4.22,-22.4,174,43.8,2.4,0.6,0.8,3.4,1,2.3
917,i-mate,UK,Telecommunications equipment (9578),4.21,214.2,148,-5.1,2.8,1.4,0.6,-2.7,0,34.4
918,Analytik Jena,Germany,Biotechnology (4573),4.20,19.7,67,4.7,6.3,6.0,6.3,1.5,0,15.1
918,Laundry Systems (now Jensen),Belgium,Industrial machinery (2757),4.20,-30.0,226,0.9,1.9,4.0,3.6,4.0,1,-26.7
920,Otor,France,General industrials (272),4.18,3.0,406,-3.1,1.0,7.1,8.4,-3.0,3,2.5
921,PartyGaming,UK,Travel & leisure (575),4.17,149.7,838,13.1,0.5,4.4,3.8,12.5,2,36.8
922,XP Power,UK,Electronic equipment (2737),4.16,7.8,117,13.6,3.6,1.7,1.9,12.0,0,21.6
922,Molins,UK,Industrial machinery (2757),4.16,3.7,150,-16.7,2.8,1.3,1.1,3.3,1,-14.3
924,Surface Technology Systems  ,UK,Semiconductors (9576),4.12,-3.7,39,39.3,10.6,7.7,3.6,2.6,0,18.1
925,Schuler,Germany,Industrial machinery (2757),4.10,,563,-0.2,0.7,1.2,1.2,-0.2,3,-2.4
926,BioMar,Denmark,Food producers (357),4.09,11.7,439,19.9,0.9,3.6,1.9,9.3,1,-1.8
927,Sociedade Interbancaria de Servicos  ,Portugal,Support services (279),4.06,,104,,3.9,7.7,,3.8,0,
928,Update Software,Austria,Software (9537),4.05,24.6,23,21.1,17.6,1.7,2.1,8.7,0,15.4
929,Bright Things  ,UK,Leisure goods (374),4.02,119.7,5,,80.4,8.0,,-160.0,0,240.0
930,BETandWIN.com Interactive,Austria,Travel & leisure (575),4.01,271.3,292,178.1,1.4,4.5,5.7,-201.4,1,152.0
931,ClinPhone,UK,Health care equipment & services (453),3.99,38.5,64,28.0,6.2,6.3,6.0,10.9,1,28.0
932,NeuTec Pharma  ,UK,Biotechnology (4573),3.98,-47.8,0,,,,,,0,15.0
933,Proha,Finland,Software (9537),3.97,-45.8,58,-10.8,6.8,0.7,0.6,-5.2,0,-10.7
934,Aspocomp,Finland,Electronic equipment (2737),3.95,-18.2,158,-3.7,2.5,19.6,15.2,-15.2,3,-0.6
935,Atoss Software,Germany,Software (9537),3.94,-0.5,22,10.0,17.9,1.8,2.0,13.6,0,-2.9
936,Adcapital,Germany,Other financials (877),3.93,7.4,75,-53.7,5.2,4.0,3.7,25.3,1,-40.1
937,Pricer,Sweden,Electronic equipment (2737),3.90,-6.0,45,25.0,8.7,0.9,1.1,-11.1,0,-1.9
937,Pescanova,Spain,Food producers (357),3.90,21.9,"1,133",13.4,0.3,8.7,4.7,4.3,0,
939,Centrotec Sustainable,Germany,Chemicals (135),3.89,30.1,396,158.8,1.0,3.5,5.2,5.6,2,68.7
940,Christ Water Technology,Austria,Industrial machinery (2757),3.86,67.8,210,14.8,1.8,1.9,0.5,2.9,1,14.4
940,Bond International Software  ,UK,Software (9537),3.86,29.1,26,23.8,14.8,3.8,4.8,19.2,0,23.5
942,SQS Software Quality Systems,Germany,Software (9537),3.83,-25.0,79,43.6,4.8,0.5,0.7,7.6,1,32.7
943,HITT,The Netherlands,Electronic equipment (2737),3.79,31.1,28,16.7,13.5,3.6,1.7,3.6,0,3.8
944,Raute,Finland,Industrial machinery (2757),3.77,4.1,106,-2.8,3.6,0.9,1.8,3.8,1,1.9
944,Nottingham Building Society,UK,Other financials (877),3.77,"12,466.7",49,14.0,7.7,10.2,4.7,30.6,1,1.8
944,Eckoh Technologies  ,UK,Support services (279),3.77,17.1,189,60.2,2.0,0.5,1.7,-0.5,0,1.3
944,Digital Multimedia Technologies,Italy,Telecommunications equipment (9578),3.77,45.6,98,21.0,3.8,8.2,27.2,19.4,0,13.9
948,Trintech  ,Ireland,Software (9537),3.75,-46.0,20,-45.9,18.8,5.0,2.7,-10.0,0,-32.0
949,Corin,UK,Health care equipment & services (453),3.71,21.6,42,10.5,8.8,9.5,10.5,14.3,0,6.0
949,Carmelite Capital  ,UK,Other financials (877),3.71,-19.3,488,-2.0,0.8,23.8,25.3,-23.6,3,-1.6
951,Alterian,UK,Software (9537),3.70,14.6,21,31.3,17.6,4.8,2.5,9.5,0,26.7
952,Victrex,UK,Chemicals (135),3.68,-40.5,182,20.5,2.0,20.3,17.9,37.4,0,26.2
952,Doncasters (now Doncasters 456)  ,UK,Industrial machinery (2757),3.68,-25.8,695,19.4,0.5,3.7,4.1,9.6,5,6.8
954,Blue Fox Enterprises,The Netherlands,Software (9537),3.67,23.2,49,-5.8,7.5,2.0,0.8,-14.3,0,-5.7
